FecAcc;MesAcc;TipoAcc;ZonaAcc;Turno;TotalAcc;TotalAccH;TotalAccM;EdadPrm;EdadPromH;EdadPromM;DiaDescPromH;DiaDescPromM;MtoDescPromH;MtoDescPromM;CostoDiario
2020-01-14;202001;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;47.0;47.0;0.0;2.0;0.0;174.1;0.0;87.05
2020-01-15;202001;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;50.0;50.0;0.0;5.0;0.0;328.63;0.0;65.726
2020-01-15;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;45.0;45.0;0.0;2.0;0.0;242.99;0.0;121.495
2020-01-16;202001;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;56.0;56.0;0.0;2.0;0.0;217.81;0.0;108.905
2020-01-16;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;119.61;0.0;59.805
2020-01-18;202001;CAIDA DE PERSONAS;TRONCO;DIA;1;0.0;1.0;29.0;0.0;29.0;0.0;2.0;0.0;96.2;48.1
2020-01-20;202001;CONTACTO CON TEMPERATURA EXTREMA;EXTREMIDAD SUPERIOR;DIA;1;0.0;1.0;33.0;0.0;33.0;0.0;3.0;0.0;55.0;18.333333333333332
2020-01-20;202001;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-01-20;202001;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;62.0;62.0;0.0;2.0;0.0;183.64;0.0;91.82
2020-01-20;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;53.0;53.0;0.0;2.0;0.0;144.26;0.0;72.13
2020-01-21;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;43.0;0.0;43.0;0.0;2.0;0.0;139.72;69.86
2020-01-21;202001;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;DIA;1;0.0;1.0;34.0;0.0;34.0;0.0;2.0;0.0;139.72;69.86
2020-01-24;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;44.0;44.0;0.0;2.0;0.0;127.28;0.0;63.64
2020-01-27;202001;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;23.0;0.0;23.0;0.0;5.0;0.0;349.3;69.86
2020-01-29;202001;CAIDA DE OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;47.0;47.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-01-29;202001;CONTACTO CON SUSTANCIAS NOCIVAS;CABEZA;DIA;1;1.0;0.0;34.0;34.0;0.0;2.0;0.0;201.5;0.0;100.75
2020-01-29;202001;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;TARDE;1;1.0;0.0;29.0;29.0;0.0;2.0;0.0;143.79;0.0;71.895
2020-01-30;202001;GOLPES CONTRA OBJETOS;TRONCO;DIA;1;0.0;1.0;41.0;0.0;41.0;0.0;2.0;0.0;132.87;66.435
2020-01-30;202001;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;138.18;0.0;69.09
2020-01-31;202001;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;33.0;33.0;0.0;2.0;0.0;134.33;0.0;67.165
2020-02-02;202002;MANIPULACION OBJETOS POR ESFUERZO;OTROS;TARDE;1;1.0;0.0;48.0;48.0;0.0;2.0;0.0;199.79;0.0;99.895
2020-02-03;202002;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;37.0;0.0;37.0;0.0;2.0;0.0;73.78;36.89
2020-02-03;202002;CAIDA DE PERSONAS;TRONCO;DIA;1;0.0;1.0;40.0;0.0;40.0;0.0;2.0;0.0;66.67;33.335
2020-02-05;202002;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;39.0;39.0;0.0;2.0;0.0;202.07;0.0;101.035
2020-02-06;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;2;2.0;0.0;26.0;26.0;0.0;2.0;0.0;54.25;0.0;43.4
2020-02-07;202002;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;25.0;25.0;0.0;2.0;0.0;73.58;0.0;36.79
2020-02-07;202002;GOLPES CONTRA OBJETOS;TRONCO;DIA;1;1.0;0.0;39.0;39.0;0.0;3.0;0.0;314.59;0.0;104.86333333333333
2020-02-07;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;46.0;46.0;0.0;3.0;0.0;93.0;0.0;31.0
2020-02-08;202002;CAIDA DE PERSONAS;TRONCO;DIA;1;0.0;1.0;42.0;0.0;42.0;0.0;2.0;0.0;86.64;43.32
2020-02-10;202002;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;46.0;0.0;46.0;0.0;2.0;0.0;408.0;204.0
2020-02-10;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;43.0;43.0;0.0;3.0;0.0;426.93;0.0;142.31
2020-02-10;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;3;3.0;0.0;36.0;36.0;0.0;2.0;0.0;133.81666666666666;0.0;200.725
2020-02-12;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;4;2.0;2.0;36.0;34.0;38.0;2.0;2.0;155.60500000000002;83.725;220.78833333333336
2020-02-13;202002;GOLPES CONTRA OBJETOS;CABEZA;DIA;1;1.0;0.0;65.0;65.0;0.0;2.0;0.0;187.6;0.0;93.8
2020-02-13;202002;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;47.0;47.0;0.0;2.0;0.0;204.63;0.0;102.315
2020-02-13;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;48.0;48.0;0.0;2.0;0.0;149.21;0.0;74.605
2020-02-13;202002;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;DIA;1;1.0;0.0;43.0;43.0;0.0;3.0;0.0;460.25;0.0;153.41666666666666
2020-02-14;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;31.0;31.0;0.0;2.0;0.0;150.82;0.0;75.41
2020-02-14;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;42.0;42.0;0.0;3.0;0.0;332.31;0.0;110.77
2020-02-15;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;2;1.0;1.0;26.0;30.0;22.0;2.0;3.0;139.72;209.58;139.72
2020-02-17;202002;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;30.0;30.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-02-17;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;24.0;24.0;0.0;3.0;0.0;209.58;0.0;69.86
2020-02-17;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;42.0;42.0;0.0;3.0;0.0;236.36;0.0;78.78666666666668
2020-02-18;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;54.0;54.0;0.0;2.0;0.0;83.79;0.0;41.895
2020-02-19;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;39.0;39.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-02-19;202002;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;2.0;0.0;32.0;32.0;0.0;2.0;0.0;139.72;0.0;139.72
2020-02-19;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;51.0;51.0;0.0;3.0;0.0;423.25;0.0;141.08333333333334
2020-02-21;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;50.0;50.0;0.0;1.0;0.0;126.87;0.0;126.87
2020-02-21;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;43.0;43.0;0.0;3.0;0.0;265.83;0.0;88.61
2020-02-21;202002;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;DIA;1;1.0;0.0;24.0;24.0;0.0;3.0;0.0;209.58;0.0;69.86
2020-02-22;202002;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;30.0;30.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-02-22;202002;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;34.0;34.0;0.0;3.0;0.0;75.0;0.0;25.0
2020-02-22;202002;CONTACTO CON SUSTANCIAS NOCIVAS;CABEZA;DIA;1;1.0;0.0;23.0;23.0;0.0;2.0;0.0;77.72;0.0;38.86
2020-02-24;202002;CONTACTO CON TEMPERATURA EXTREMA;CABEZA;DIA;1;1.0;0.0;48.0;48.0;0.0;2.0;0.0;153.25;0.0;76.625
2020-02-24;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;0.0;1.0;56.0;0.0;56.0;0.0;3.0;0.0;209.58;69.86
2020-02-24;202002;MANIPULACION OBJETOS POR ESFUERZO;OTROS;DIA;1;1.0;0.0;21.0;21.0;0.0;3.0;0.0;135.65;0.0;45.21666666666667
2020-02-25;202002;CAIDA DE PERSONAS;TRONCO;DIA;1;1.0;0.0;33.0;33.0;0.0;2.0;0.0;146.62;0.0;73.31
2020-02-26;202002;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;40.0;40.0;0.0;2.0;0.0;93.33;0.0;46.665
2020-02-27;202002;CAIDA DE PERSONAS;CABEZA;DIA;1;0.0;1.0;67.0;0.0;67.0;0.0;2.0;0.0;120.38;60.19
2020-02-27;202002;CAIDA DE PERSONAS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;43.0;43.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-02-27;202002;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;41.0;41.0;0.0;3.0;0.0;254.02;0.0;84.67333333333333
2020-02-27;202002;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;DIA;1;0.0;1.0;42.0;0.0;42.0;0.0;3.0;0.0;209.58;69.86
2020-02-28;202002;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;29.0;0.0;29.0;0.0;3.0;0.0;91.8;30.599999999999998
2020-03-02;202003;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;23.0;23.0;0.0;2.0;0.0;75.71;0.0;37.855
2020-03-02;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;153.3;0.0;76.65
2020-03-03;202003;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;2;1.0;1.0;38.0;41.0;35.0;2.0;2.0;202.66;274.68;238.67000000000002
2020-03-03;202003;CAIDA DE PERSONAS;TRONCO;DIA;1;0.0;1.0;31.0;0.0;31.0;0.0;2.0;0.0;126.2;63.1
2020-03-03;202003;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;39.0;0.0;39.0;0.0;2.0;0.0;67.62;33.81
2020-03-04;202003;ATRAPADO POR OBJETOS;TRONCO;DIA;1;1.0;0.0;39.0;39.0;0.0;2.0;0.0;248.15;0.0;124.075
2020-03-05;202003;CONTACTO CON SUSTANCIAS NOCIVAS;CABEZA;DIA;1;1.0;0.0;32.0;32.0;0.0;2.0;0.0;299.11;0.0;149.555
2020-03-05;202003;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;25.0;25.0;0.0;2.0;0.0;130.64;0.0;65.32
2020-03-05;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;0.0;1.0;36.0;0.0;36.0;0.0;2.0;0.0;71.06;35.53
2020-03-06;202003;CONTACTO CON SUSTANCIAS NOCIVAS;CABEZA;DIA;1;1.0;0.0;29.0;29.0;0.0;2.0;0.0;137.78;0.0;68.89
2020-03-06;202003;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;39.0;0.0;39.0;0.0;3.0;0.0;209.58;69.86
2020-03-06;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;2;2.0;0.0;37.0;37.0;0.0;2.0;0.0;130.26;0.0;130.26
2020-03-06;202003;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;DIA;1;1.0;0.0;31.0;31.0;0.0;2.0;0.0;103.33;0.0;51.665
2020-03-06;202003;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;TARDE;1;1.0;0.0;57.0;57.0;0.0;5.0;0.0;885.66;0.0;177.132
2020-03-09;202003;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;81.63;0.0;40.815
2020-03-09;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;68.2;0.0;34.1
2020-03-10;202003;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;43.0;43.0;0.0;2.0;0.0;142.18;0.0;71.09
2020-03-10;202003;GOLPES CONTRA OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;47.0;47.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-03-11;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;2;2.0;0.0;36.0;36.0;0.0;2.0;0.0;177.35;0.0;177.35
2020-03-12;202003;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;24.0;24.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-03-13;202003;CONTACTO CON TEMPERATURA EXTREMA;CABEZA;DIA;1;1.0;0.0;24.0;24.0;0.0;2.0;0.0;62.0;0.0;31.0
2020-03-13;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;32.0;32.0;0.0;2.0;0.0;189.2;0.0;94.6
2020-03-14;202003;CONTACTO CON TEMPERATURA EXTREMA;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;38.0;38.0;0.0;2.0;0.0;111.42;0.0;55.71
2020-03-16;202003;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;43.0;0.0;43.0;0.0;2.0;0.0;68.33;34.165
2020-03-20;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;39.0;39.0;0.0;10.0;0.0;6874.12;0.0;687.412
2020-03-21;202003;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;38.0;38.0;0.0;2.0;0.0;177.78;0.0;88.89
2020-04-25;202004;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;47.0;47.0;0.0;10.0;0.0;274.62;0.0;27.462
2020-05-01;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;34.0;0.0;34.0;0.0;2.0;0.0;76.47;38.235
2020-05-04;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;52.0;0.0;52.0;0.0;2.0;0.0;100.41;50.205
2020-05-07;202005;CONTACTO CON TEMPERATURA EXTREMA;CABEZA;DIA;1;1.0;0.0;42.0;42.0;0.0;2.0;0.0;238.72;0.0;119.36
2020-05-08;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;27.0;27.0;0.0;2.0;0.0;275.82;0.0;137.91
2020-05-12;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;29.0;0.0;29.0;0.0;2.0;0.0;89.66;44.83
2020-05-12;202005;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;42.0;42.0;0.0;7.0;0.0;229.46;0.0;32.78
2020-05-15;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;52.0;0.0;52.0;0.0;2.0;0.0;58.33;29.165
2020-05-15;202005;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;0.0;1.0;46.0;0.0;46.0;0.0;2.0;0.0;76.2;38.1
2020-05-16;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;56.0;0.0;56.0;0.0;2.0;0.0;175.65;87.825
2020-05-18;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;33.0;0.0;33.0;0.0;2.0;0.0;60.0;30.0
2020-05-19;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;1.0;1.0;40.0;46.0;33.0;2.0;2.0;111.23;101.46;106.345
2020-05-20;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;29.0;0.0;29.0;0.0;2.0;0.0;65.23;32.615
2020-05-21;202005;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;40.0;0.0;40.0;0.0;2.0;0.0;73.92;36.96
2020-05-22;202005;CAIDA DE PERSONAS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;53.0;0.0;53.0;0.0;2.0;0.0;75.7;37.85
2020-05-23;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;0.0;2.0;32.0;0.0;32.0;0.0;2.0;0.0;83.97999999999999;83.97999999999999
2020-05-24;202005;GOLPES CONTRA OBJETOS;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;47.0;0.0;47.0;0.0;2.0;0.0;86.14;43.07
2020-05-25;202005;GOLPES CONTRA OBJETOS;CABEZA;DIA;1;0.0;1.0;39.0;0.0;39.0;0.0;2.0;0.0;127.5;63.75
2020-05-25;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;2.0;0.0;40.0;40.0;0.0;2.0;0.0;130.63;0.0;130.63
2020-05-26;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;31.0;31.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-05-27;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;31.0;0.0;31.0;0.0;2.0;0.0;172.9;86.45
2020-05-28;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;31.0;31.0;0.0;2.0;0.0;192.23;0.0;96.115
2020-05-29;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;34.0;0.0;34.0;0.0;2.0;0.0;86.67;43.335
2020-05-31;202005;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;36.0;0.0;36.0;0.0;2.0;0.0;66.2;33.1
2020-05-31;202005;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;0.0;1.0;27.0;0.0;27.0;0.0;2.0;0.0;60.0;30.0
2020-06-01;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;5;1.0;4.0;37.0;35.0;38.0;3.0;3.0;270.39;165.15;310.33
2020-06-02;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;1.0;1.0;40.0;46.0;33.0;3.0;3.0;166.85;152.18;106.34333333333333
2020-06-03;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;46.0;46.0;0.0;3.0;0.0;166.85;0.0;55.61666666666667
2020-06-04;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;1.0;1.0;28.0;22.0;33.0;5.0;3.0;349.3;270.0;159.86
2020-06-06;202006;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;59.0;59.0;0.0;3.0;0.0;1229.16;0.0;409.72
2020-06-06;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;6;1.0;5.0;32.0;39.0;31.0;3.0;3.0;290.0;154.25600000000003;333.47266666666667
2020-06-06;202006;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD INFERIOR;DIA;1;1.0;0.0;53.0;53.0;0.0;5.0;0.0;2446.79;0.0;489.358
2020-06-06;202006;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;41.0;41.0;0.0;3.0;0.0;396.74;0.0;132.24666666666667
2020-06-06;202006;MANIPULACION OBJETOS POR ESFUERZO;TRONCO;TARDE;3;3.0;0.0;32.0;32.0;0.0;4.0;0.0;302.7266666666667;0.0;209.57999999999998
2020-06-07;202006;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;TARDE;2;2.0;0.0;38.0;38.0;0.0;8.0;0.0;2924.835;0.0;619.897
2020-06-08;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;4;4.0;0.0;41.0;41.0;0.0;3.0;0.0;165.99;0.0;221.32
2020-06-08;202006;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;27.0;27.0;0.0;3.0;0.0;174.75;0.0;58.25
2020-06-09;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;2;1.0;1.0;36.0;42.0;31.0;3.0;3.0;102.5;259.35;120.61666666666667
2020-06-11;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;36.0;0.0;36.0;0.0;3.0;0.0;99.3;33.1
2020-06-12;202006;GOLPES CONTRA OBJETOS;TRONCO;DIA;1;1.0;0.0;29.0;29.0;0.0;3.0;0.0;81.2;0.0;27.066666666666666
2020-06-12;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;4;0.0;4.0;32.0;0.0;32.0;0.0;3.0;0.0;141.6275;188.83666666666667
2020-06-14;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;35.0;35.0;0.0;3.0;0.0;85.0;0.0;28.333333333333332
2020-06-14;202006;MANIPULACION OBJETOS POR ESFUERZO;OTROS;DIA;1;0.0;1.0;38.0;0.0;38.0;0.0;7.0;0.0;1207.5;172.5
2020-06-15;202006;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;36.0;36.0;0.0;3.0;0.0;271.3;0.0;90.43333333333334
2020-06-16;202006;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;38.0;38.0;0.0;3.0;0.0;176.91;0.0;58.97
2020-06-16;202006;GOLPES CONTRA OBJETOS;CABEZA;DIA;1;0.0;1.0;55.0;0.0;55.0;0.0;3.0;0.0;209.58;69.86
2020-06-17;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;0.0;1.0;29.0;0.0;29.0;0.0;3.0;0.0;252.95;84.31666666666666
2020-06-17;202006;MANIPULACION OBJETOS POR ESFUERZO;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;24.0;24.0;0.0;2.0;0.0;139.72;0.0;69.86
2020-06-18;202006;ATRAPADO POR OBJETOS;EXTREMIDAD SUPERIOR;DIA;1;1.0;0.0;26.0;26.0;0.0;3.0;0.0;208.52;0.0;69.50666666666667
2020-06-18;202006;MANIPULACION OBJETOS POR ESFUERZO;CABEZA;DIA;1;1.0;0.0;29.0;29.0;0.0;3.0;0.0;85.0;0.0;28.333333333333332
